DIRECTORIO,P6020,P6040,P6051,P5502,P767,P6081,P6083,P1895,P1896,P1897,P1898,P1899,P3175,P1901,P1903,P1904,P1905,P1927
7247659,1,71,1,4.0,20.0,3,3,10.0,10.0,9.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7247660,1,64,1,4.0,,3,3,5.0,0.0,6.0,7.0,3.0,4.0,10.0,7.0,4.0,10.0,6.0
7247662,1,70,1,6.0,,3,3,10.0,7.0,10.0,10.0,7.0,9.0,9.0,3.0,3.0,10.0,8.0
7247662,2,65,2,6.0,,3,3,9.0,8.0,9.0,9.0,9.0,10.0,9.0,0.0,0.0,10.0,10.0
7247665,2,67,1,2.0,,3,2,9.0,7.0,9.0,9.0,9.0,10.0,9.0,3.0,8.0,10.0,8.0
7247665,1,68,2,2.0,,3,3,10.0,99.0,9.0,9.0,0.0,10.0,6.0,4.0,5.0,10.0,7.0
7247666,2,74,1,3.0,,3,3,10.0,10.0,8.0,2.0,10.0,10.0,10.0,8.0,5.0,10.0,10.0
7247668,2,63,1,4.0,,3,3,6.0,7.0,5.0,5.0,6.0,7.0,6.0,8.0,4.0,8.0,6.0
7247671,2,60,3,5.0,,3,1,8.0,6.0,7.0,5.0,8.0,7.0,6.0,6.0,0.0,9.0,7.0
7247671,2,80,1,3.0,,3,3,10.0,8.0,8.0,9.0,9.0,9.0,9.0,3.0,0.0,10.0,10.0
7247672,1,64,1,4.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7247673,1,69,6,3.0,,3,3,9.0,4.0,6.0,6.0,4.0,4.0,8.0,1.0,4.0,9.0,8.0
7247679,2,70,2,6.0,,3,3,9.0,7.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,9.0,8.0
7247679,1,65,1,6.0,,3,3,8.0,7.0,8.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,9.0
7247681,2,65,5,3.0,,2,3,8.0,9.0,9.0,9.0,9.0,9.0,2.0,2.0,1.0,10.0,9.0
7247683,1,61,2,6.0,,3,3,5.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0
7247684,1,66,1,4.0,6.0,3,3,8.0,5.0,6.0,8.0,7.0,7.0,5.0,5.0,5.0,10.0,7.0
7247686,1,84,1,2.0,,3,3,8.0,6.0,7.0,9.0,7.0,8.0,7.0,0.0,0.0,8.0,7.0
7247686,2,75,2,2.0,,3,3,7.0,7.0,7.0,8.0,7.0,7.0,6.0,5.0,5.0,8.0,8.0
7247693,1,66,12,5.0,,3,3,9.0,5.0,8.0,10.0,10.0,10.0,10.0,0.0,0.0,9.0,8.0
7247693,1,72,1,6.0,,3,3,9.0,8.0,9.0,9.0,9.0,8.0,9.0,5.0,1.0,9.0,9.0
7247698,1,80,5,4.0,,3,3,8.0,8.0,3.0,10.0,10.0,10.0,10.0,0.0,2.0,9.0,10.0
7247702,1,71,1,6.0,,3,3,9.0,8.0,9.0,9.0,8.0,8.0,9.0,2.0,1.0,9.0,8.0
7247702,2,65,2,6.0,,3,3,10.0,99.0,9.0,10.0,10.0,7.0,10.0,0.0,0.0,10.0,7.0
7247708,2,72,2,2.0,,2,3,10.0,99.0,7.0,10.0,8.0,8.0,9.0,1.0,1.0,9.0,8.0
7247708,1,75,1,2.0,,3,3,8.0,6.0,7.0,10.0,6.0,7.0,9.0,1.0,0.0,8.0,8.0
7247710,1,69,1,2.0,,3,3,7.0,6.0,7.0,10.0,10.0,8.0,10.0,0.0,0.0,10.0,10.0
7247717,2,60,1,3.0,,3,3,10.0,0.0,9.0,9.0,0.0,5.0,7.0,6.0,7.0,8.0,7.0
7247722,1,71,1,2.0,,3,3,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0
7247722,2,63,2,2.0,,3,3,3.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0
7247730,1,60,2,2.0,,3,3,9.0,5.0,6.0,9.0,9.0,9.0,9.0,1.0,0.0,10.0,10.0
7247731,1,60,2,2.0,23.0,3,2,8.0,4.0,9.0,8.0,6.0,2.0,8.0,4.0,0.0,8.0,7.0
7247746,1,60,1,2.0,,3,3,9.0,6.0,8.0,6.0,6.0,7.0,7.0,8.0,8.0,10.0,6.0
7247746,2,87,5,3.0,,3,3,8.0,7.0,7.0,7.0,7.0,7.0,9.0,2.0,2.0,10.0,6.0
7247746,1,65,9,4.0,,3,3,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,4.0,10.0,4.0
7247747,2,80,1,3.0,,3,3,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,10.0,9.0
7247748,1,63,1,6.0,,3,2,10.0,6.0,10.0,8.0,10.0,3.0,8.0,3.0,0.0,10.0,8.0
7247748,2,62,2,6.0,,3,3,8.0,3.0,8.0,6.0,10.0,6.0,8.0,1.0,0.0,10.0,8.0
7247749,1,67,1,6.0,,2,2,9.0,9.0,7.0,9.0,9.0,9.0,8.0,4.0,5.0,10.0,7.0
7247749,2,65,2,6.0,,2,2,9.0,9.0,9.0,8.0,9.0,8.0,8.0,6.0,6.0,10.0,7.0
7247752,1,64,1,4.0,50.0,2,3,8.0,7.0,6.0,8.0,7.0,8.0,7.0,0.0,0.0,10.0,8.0
7247758,2,62,1,4.0,13.0,3,3,7.0,7.0,8.0,8.0,4.0,7.0,8.0,7.0,8.0,8.0,6.0
7247763,1,63,1,6.0,,3,3,1.0,0.0,2.0,0.0,1.0,1.0,0.0,9.0,10.0,1.0,1.0
7247763,2,60,2,6.0,,3,3,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,10.0,8.0,5.0
7247769,1,79,1,2.0,,3,3,9.0,99.0,7.0,5.0,1.0,5.0,8.0,7.0,2.0,8.0,9.0
7247769,2,69,2,2.0,,3,2,10.0,99.0,8.0,9.0,0.0,10.0,5.0,7.0,5.0,10.0,8.0
7247771,1,75,5,3.0,19.0,3,3,0.0,99.0,3.0,8.0,0.0,2.0,10.0,7.0,1.0,10.0,0.0
7247775,2,97,5,3.0,30.0,3,3,8.0,5.0,4.0,5.0,3.0,9.0,5.0,4.0,5.0,7.0,6.0
7247777,1,75,1,6.0,35.0,3,3,8.0,5.0,9.0,7.0,5.0,6.0,9.0,4.0,0.0,10.0,6.0
7247777,2,70,2,6.0,,3,2,9.0,4.0,9.0,10.0,5.0,5.0,10.0,3.0,0.0,10.0,6.0
7247778,2,61,1,3.0,26.0,2,3,9.0,5.0,6.0,4.0,6.0,3.0,4.0,4.0,5.0,9.0,7.0
7247781,1,71,1,3.0,,3,3,9.0,5.0,8.0,6.0,7.0,8.0,6.0,2.0,4.0,8.0,7.0
7247787,1,73,1,2.0,63.0,3,3,7.0,7.0,8.0,8.0,7.0,8.0,8.0,8.0,0.0,9.0,8.0
7247787,2,66,2,2.0,33.0,3,3,7.0,5.0,7.0,8.0,5.0,7.0,8.0,0.0,0.0,7.0,7.0
7247788,1,69,1,6.0,57.0,3,3,8.0,10.0,7.0,4.0,5.0,8.0,8.0,5.0,0.0,10.0,7.0
7247788,2,61,2,6.0,48.0,3,3,10.0,10.0,8.0,10.0,8.0,8.0,8.0,0.0,0.0,10.0,10.0
7247790,2,88,1,4.0,62.0,3,3,10.0,99.0,1.0,8.0,0.0,6.0,6.0,8.0,6.0,6.0,4.0
7247790,1,66,14,4.0,20.0,3,3,10.0,2.0,10.0,10.0,8.0,5.0,0.0,10.0,10.0,8.0,3.0
7247793,1,76,1,6.0,,3,3,9.0,4.0,7.0,5.0,7.0,8.0,5.0,7.0,2.0,8.0,8.0
7247793,2,67,2,6.0,46.0,3,3,8.0,99.0,8.0,8.0,7.0,8.0,8.0,7.0,2.0,8.0,8.0
7247794,2,65,6,4.0,,3,3,4.0,4.0,4.0,7.0,3.0,8.0,8.0,5.0,8.0,6.0,6.0
7247797,1,67,1,5.0,20.0,3,3,8.0,5.0,8.0,5.0,3.0,8.0,6.0,0.0,0.0,7.0,4.0
7247806,2,65,2,2.0,,3,3,7.0,2.0,6.0,5.0,2.0,8.0,3.0,3.0,2.0,7.0,7.0
7247806,1,67,1,2.0,,3,3,5.0,5.0,3.0,3.0,2.0,8.0,7.0,6.0,6.0,5.0,6.0
7247809,1,82,1,3.0,40.0,3,3,8.0,2.0,7.0,4.0,1.0,9.0,3.0,2.0,4.0,8.0,8.0
7247810,1,73,1,2.0,,2,2,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,8.0,8.0
7247814,1,62,1,6.0,,3,2,7.0,7.0,6.0,7.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0
7247817,2,60,1,5.0,,2,2,6.0,7.0,5.0,5.0,2.0,4.0,4.0,4.0,5.0,8.0,5.0
7247818,2,83,6,3.0,,3,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7247819,2,75,1,4.0,,3,3,8.0,6.0,8.0,8.0,8.0,9.0,8.0,5.0,4.0,10.0,7.0
7247820,1,74,1,6.0,,3,3,10.0,4.0,5.0,8.0,1.0,6.0,8.0,2.0,0.0,10.0,7.0
7247820,2,72,2,6.0,,3,3,10.0,4.0,7.0,9.0,5.0,7.0,8.0,2.0,5.0,10.0,5.0
7247821,2,75,5,3.0,,3,3,6.0,99.0,5.0,6.0,4.0,7.0,6.0,6.0,6.0,6.0,4.0
7247822,1,65,1,6.0,,3,3,7.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,3.0,7.0,8.0
7247823,2,74,1,4.0,,3,3,5.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,3.0,5.0,5.0
7247826,2,82,1,3.0,,3,3,6.0,6.0,6.0,7.0,7.0,6.0,8.0,4.0,2.0,10.0,7.0
7247835,2,66,1,2.0,,3,2,8.0,8.0,7.0,8.0,8.0,8.0,8.0,3.0,4.0,7.0,7.0
7247835,1,73,2,2.0,,3,3,8.0,6.0,7.0,6.0,7.0,7.0,7.0,5.0,4.0,7.0,7.0
7247836,2,62,1,3.0,,2,2,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0
7247841,2,64,1,4.0,,2,2,8.0,8.0,7.0,8.0,8.0,7.0,8.0,2.0,2.0,9.0,8.0
7247845,2,67,1,4.0,,3,3,5.0,1.0,4.0,7.0,0.0,4.0,5.0,8.0,1.0,6.0,7.0
7247847,1,63,1,2.0,,3,3,6.0,1.0,5.0,7.0,3.0,5.0,7.0,6.0,7.0,6.0,5.0
7247849,1,74,1,2.0,,3,3,8.0,0.0,5.0,8.0,1.0,6.0,4.0,7.0,2.0,7.0,7.0
7247849,2,67,2,2.0,42.0,2,2,7.0,99.0,8.0,7.0,2.0,5.0,6.0,4.0,1.0,7.0,7.0
7247851,1,82,5,3.0,,2,2,6.0,1.0,3.0,7.0,0.0,1.0,4.0,7.0,6.0,5.0,4.0
7247856,1,69,1,6.0,,2,2,7.0,0.0,5.0,6.0,0.0,2.0,4.0,8.0,1.0,8.0,7.0
7247856,2,72,2,6.0,15.0,3,3,7.0,99.0,5.0,7.0,1.0,5.0,7.0,3.0,1.0,8.0,7.0
7247859,2,61,1,4.0,,3,3,7.0,6.0,7.0,5.0,5.0,6.0,7.0,4.0,3.0,9.0,8.0
7247861,1,77,1,6.0,23.0,3,3,8.0,8.0,6.0,5.0,6.0,6.0,8.0,5.0,0.0,10.0,8.0
7247861,2,69,2,6.0,23.0,3,3,7.0,8.0,7.0,5.0,6.0,5.0,7.0,3.0,3.0,10.0,10.0
7247862,1,63,1,6.0,,3,3,2.0,0.0,3.0,8.0,0.0,6.0,5.0,8.0,4.0,8.0,5.0
7247862,2,62,2,6.0,,3,3,5.0,2.0,5.0,8.0,1.0,3.0,7.0,6.0,7.0,7.0,6.0
7247866,2,65,1,3.0,,3,2,2.0,8.0,7.0,8.0,2.0,5.0,5.0,8.0,7.0,7.0,5.0
7247869,1,62,1,6.0,25.0,3,2,9.0,7.0,6.0,5.0,5.0,6.0,8.0,7.0,2.0,10.0,8.0
7247873,2,72,5,3.0,,3,3,7.0,2.0,5.0,7.0,2.0,5.0,5.0,5.0,4.0,7.0,5.0
7247875,1,74,1,6.0,,3,3,8.0,3.0,6.0,9.0,5.0,5.0,6.0,2.0,7.0,7.0,7.0
7247875,2,62,2,6.0,,2,2,4.0,1.0,5.0,9.0,1.0,7.0,6.0,3.0,7.0,8.0,7.0
7247880,1,74,1,6.0,,3,3,10.0,7.0,6.0,5.0,6.0,5.0,9.0,0.0,0.0,10.0,10.0
7247880,2,68,2,6.0,,3,3,8.0,5.0,9.0,5.0,4.0,7.0,10.0,0.0,0.0,10.0,10.0
7247882,2,64,1,5.0,,3,3,7.0,3.0,6.0,8.0,4.0,7.0,7.0,7.0,6.0,5.0,5.0
7247882,2,61,7,5.0,,3,3,8.0,3.0,6.0,8.0,3.0,6.0,8.0,5.0,5.0,8.0,5.0
7247882,2,63,7,4.0,,3,3,8.0,2.0,7.0,8.0,4.0,6.0,3.0,7.0,7.0,9.0,6.0
7247885,1,68,1,6.0,,2,2,9.0,9.0,9.0,9.0,9.0,8.0,8.0,2.0,1.0,10.0,8.0
7247885,2,70,2,6.0,,3,3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0
7247891,1,61,1,2.0,,3,2,6.0,7.0,3.0,8.0,7.0,7.0,6.0,4.0,0.0,8.0,5.0
7247891,2,73,2,2.0,,3,3,6.0,5.0,7.0,7.0,4.0,6.0,4.0,5.0,5.0,8.0,7.0
7247892,2,64,2,6.0,,3,3,10.0,99.0,10.0,10.0,10.0,10.0,8.0,3.0,3.0,10.0,8.0
7247892,1,67,1,6.0,,3,3,9.0,3.0,10.0,10.0,10.0,10.0,7.0,3.0,2.0,9.0,9.0
7247892,1,60,7,5.0,,3,3,10.0,5.0,9.0,9.0,10.0,10.0,8.0,2.0,3.0,8.0,9.0
7247895,1,66,2,2.0,,3,3,10.0,6.0,10.0,10.0,9.0,8.0,8.0,0.0,0.0,9.0,10.0
7247896,2,72,1,4.0,,3,3,6.0,4.0,5.0,8.0,4.0,5.0,6.0,4.0,3.0,6.0,7.0
7247897,1,78,1,2.0,,2,2,6.0,8.0,7.0,8.0,10.0,10.0,10.0,0.0,0.0,10.0,7.0
7247898,1,60,1,6.0,,3,3,8.0,3.0,6.0,7.0,5.0,7.0,6.0,4.0,1.0,7.0,6.0
7247898,2,68,2,6.0,,3,3,8.0,6.0,4.0,7.0,7.0,6.0,5.0,4.0,7.0,7.0,5.0
7247900,1,79,6,4.0,,3,3,6.0,99.0,6.0,8.0,10.0,10.0,4.0,7.0,8.0,5.0,6.0
